Time (ps)	Intensity (cps)
0	2
9.8106	11
19.6212	18
29.4318	13
39.2424	10
49.0530	8
58.8636	9
68.6742	9
78.4848	10
88.2954	6
98.1060	6
107.9166	10
117.7272	13
127.5378	5
137.3484	12
147.1590	7
156.9696	9
166.7802	13
176.5908	6
186.4014	11
196.2120	5
206.0226	5
215.8332	4
225.6438	7
235.4544	10
245.2650	6
255.0756	12
264.8862	11
274.6968	4
284.5074	11
294.3180	15
304.1286	11
313.9392	8
323.7498	9
333.5604	7
343.3710	5
353.1816	11
362.9922	10
372.8028	12
382.6134	14
392.4240	7
402.2346	7
412.0452	8
421.8558	12
431.6664	5
441.4770	10
451.2876	5
461.0982	7
470.9088	14
480.7194	4
490.5300	8
500.3406	10
510.1512	6
519.9618	12
529.7724	14
539.5830	13
549.3936	3
559.2042	9
569.0148	5
578.8254	10
588.6360	7
598.4466	6
608.2572	5
618.0678	12
627.8784	5
637.6890	6
647.4996	5
657.3102	7
667.1208	5
676.9314	9
686.7420	7
696.5526	6
706.3632	7
716.1738	11
725.9844	5
735.7950	16
745.6056	12
755.4162	10
765.2268	8
775.0374	8
784.8480	4
794.6586	11
804.4692	8
814.2798	15
824.0904	8
833.9010	7
843.7116	9
853.5222	5
863.3328	10
873.1434	8
882.9540	5
892.7646	10
902.5752	6
912.3858	5
922.1964	7
932.0070	6
941.8176	12
951.6282	10
961.4388	5
971.2494	4
981.0600	5
990.8706	11
1000.6812	8
1010.4918	7
1020.3024	7
1030.1130	10
1039.9236	4
1049.7342	10
1059.5448	5
1069.3554	7
1079.1660	11
1088.9766	9
1098.7872	7
1108.5978	7
1118.4084	9
1128.2190	3
1138.0296	8
1147.8402	8
1157.6508	8
1167.4614	10
1177.2720	8
1187.0826	7
1196.8932	8
1206.7038	8
1216.5144	8
1226.3250	9
1236.1356	2
1245.9462	7
1255.7568	11
1265.5674	9
1275.3780	10
1285.1886	7
1294.9992	8
1304.8098	5
1314.6204	11
1324.4310	8
1334.2416	5
1344.0522	9
1353.8628	5
1363.6734	8
1373.4840	3
1383.2946	10
1393.1052	5
1402.9158	10
1412.7264	5
1422.5370	9
1432.3476	6
1442.1582	6
1451.9688	7
1461.7794	4
1471.5900	4
1481.4006	3
1491.2112	5
1501.0218	10
1510.8324	4
1520.6430	7
1530.4536	5
1540.2642	6
1550.0748	7
1559.8854	7
1569.6960	7
1579.5066	11
1589.3172	5
1599.1278	4
1608.9384	4
1618.7490	5
1628.5596	3
1638.3702	9
1648.1808	5
1657.9914	3
1667.8020	9
1677.6126	7
1687.4232	10
1697.2338	5
1707.0444	4
1716.8550	10
1726.6656	6
1736.4762	3
1746.2868	10
1756.0974	9
1765.9080	9
1775.7186	5
1785.5292	4
1795.3398	9
1805.1504	5
1814.9610	6
1824.7716	8
1834.5822	9
1844.3928	6
1854.2034	5
1864.0140	4
1873.8246	6
1883.6352	5
1893.4458	13
1903.2564	4
1913.0670	9
1922.8776	8
1932.6882	6
1942.4988	8
1952.3094	5
1962.1200	6
1971.9306	6
1981.7412	8
1991.5518	1
2001.3624	8
2011.1730	7
2020.9836	6
2030.7942	3
2040.6048	5
2050.4154	10
2060.2260	5
2070.0366	3
2079.8472	5
2089.6578	10
2099.4684	6
2109.2790	7
2119.0896	6
2128.9002	6
2138.7108	12
2148.5214	2
2158.3320	7
2168.1426	9
2177.9532	6
2187.7638	12
2197.5744	2
2207.3850	7
2217.1956	10
2227.0062	1
2236.8168	5
2246.6274	2
2256.4380	5
2266.2486	8
2276.0592	6
2285.8698	6
2295.6804	2
2305.4910	8
2315.3016	3
2325.1122	3
2334.9228	4
2344.7334	7
2354.5440	7
2364.3546	6
2374.1652	3
2383.9758	7
2393.7864	6
2403.5970	3
2413.4076	5
2423.2182	5
2433.0288	5
2442.8394	8
2452.6500	3
2462.4606	6
2472.2712	7
2482.0818	3
2491.8924	4
2501.7030	3
2511.5136	4
2521.3242	7
2531.1348	4
2540.9454	4
2550.7560	6
2560.5666	7
2570.3772	8
2580.1878	4
2589.9984	5
2599.8090	7
2609.6196	8
2619.4302	8
2629.2408	4
2639.0514	3
2648.8620	6
2658.6726	4
2668.4832	5
2678.2938	2
2688.1044	2
2697.9150	8
2707.7256	4
2717.5362	5
2727.3468	7
2737.1574	4
2746.9680	6
2756.7786	2
2766.5892	6
2776.3998	4
2786.2104	3
2796.0210	3
2805.8316	6
2815.6422	13
2825.4528	6
2835.2634	6
2845.0740	5
2854.8846	3
2864.6952	2
2874.5058	3
2884.3164	5
2894.1270	8
2903.9376	7
2913.7482	2
2923.5588	6
2933.3694	7
2943.1800	3
2952.9906	2
2962.8012	5
2972.6118	4
2982.4224	3
2992.2330	9
3002.0436	8
3011.8542	4
3021.6648	8
3031.4754	6
3041.2860	8
3051.0966	5
3060.9072	7
3070.7178	5
3080.5284	7
3090.3390	5
3100.1496	1
3109.9602	7
3119.7708	10
3129.5814	4
3139.3920	2
3149.2026	5
3159.0132	2
3168.8238	3
3178.6344	7
3188.4450	6
3198.2556	6
3208.0662	3
3217.8768	4
3227.6874	8
3237.4980	4
3247.3086	11
3257.1192	8
3266.9298	5
3276.7404	4
3286.5510	5
3296.3616	1
3306.1722	3
3315.9828	3
3325.7934	7
3335.6040	4
3345.4146	6
3355.2252	5
3365.0358	2
3374.8464	11
3384.6570	2
3394.4676	5
3404.2782	3
3414.0888	2
3423.8994	4
3433.7100	4
3443.5206	7
3453.3312	5
3463.1418	8
3472.9524	5
3482.7630	6
3492.5736	4
3502.3842	7
3512.1948	4
3522.0054	1
3531.8160	3
3541.6266	2
3551.4372	6
3561.2478	1
3571.0584	2
3580.8690	4
3590.6796	4
3600.4902	3
3610.3008	1
3620.1114	3
3629.9220	4
3639.7326	1
3649.5432	5
3659.3538	6
3669.1644	3
3678.9750	4
3688.7856	4
3698.5962	8
3708.4068	2
3718.2174	11
3728.0280	6
3737.8386	2
3747.6492	4
3757.4598	5
3767.2704	2
3777.0810	3
3786.8916	4
3796.7022	11
3806.5128	6
3816.3234	8
3826.1340	1
3835.9446	4
3845.7552	3
3855.5658	9
3865.3764	9
3875.1870	3
3884.9976	6
3894.8082	4
3904.6188	8
3914.4294	3
3924.2400	4
3934.0506	6
3943.8612	4
3953.6718	4
3963.4824	6
3973.2930	7
3983.1036	5
3992.9142	2
4002.7248	5
4012.5354	1
4022.3460	2
4032.1566	1
4041.9672	3
4051.7778	7
4061.5884	5
4071.3990	2
4081.2096	2
4091.0202	5
4100.8308	7
4110.6414	6
4120.4520	3
4130.2626	10
4140.0732	1
4149.8838	3
4159.6944	2
4169.5050	4
4179.3156	8
4189.1262	2
4198.9368	3
4208.7474	10
4218.5580	6
4228.3686	4
4238.1792	6
4247.9898	2
4257.8004	4
4267.6110	5
4277.4216	2
4287.2322	6
4297.0428	6
4306.8534	1
4316.6640	1
4326.4746	7
4336.2852	5
4346.0958	5
4355.9064	7
4365.7170	4
4375.5276	4
4385.3382	4
4395.1488	4
4404.9594	4
4414.7700	6
4424.5806	5
4434.3912	1
4444.2018	3
4454.0124	3
4463.8230	6
4473.6336	2
4483.4442	3
4493.2548	3
4503.0654	2
4512.8760	2
4522.6866	1
4532.4972	5
4542.3078	3
4552.1184	0
4561.9290	4
4571.7396	1
4581.5502	4
4591.3608	3
4601.1714	3
4610.9820	2
4620.7926	4
4630.6032	5
4640.4138	3
4650.2244	2
4660.0350	4
4669.8456	4
4679.6562	6
4689.4668	3
4699.2774	2
4709.0880	4
4718.8986	2
4728.7092	3
4738.5198	3
4748.3304	5
4758.1410	6
4767.9516	3
4777.7622	3
4787.5728	4
4797.3834	5
4807.1940	2
4817.0046	2
4826.8152	2
4836.6258	4
4846.4364	5
4856.2470	4
4866.0576	4
4875.8682	3
4885.6788	3
4895.4894	3
4905.3000	4
4915.1106	2
4924.9212	6
4934.7318	3
4944.5424	2
4954.3530	3
4964.1636	4
4973.9742	6
4983.7848	8
4993.5954	2
5003.4060	1
5013.2166	0
5023.0272	2
5032.8378	3
5042.6484	5
5052.4590	2
5062.2696	4
5072.0802	2
5081.8908	1
5091.7014	3
5101.5120	3
5111.3226	3
5121.1332	0
5130.9438	4
5140.7544	2
5150.5650	1
5160.3756	0
5170.1862	6
5179.9968	3
5189.8074	6
5199.6180	2
5209.4286	6
5219.2392	3
5229.0498	4
5238.8604	2
5248.6710	2
5258.4816	3
5268.2922	9
5278.1028	3
5287.9134	1
5297.7240	5
5307.5346	4
5317.3452	3
5327.1558	7
5336.9664	6
5346.7770	5
5356.5876	1
5366.3982	4
5376.2088	1
5386.0194	5
5395.8300	3
5405.6406	3
5415.4512	3
5425.2618	5
5435.0724	2
5444.8830	1
5454.6936	3
5464.5042	2
5474.3148	5
5484.1254	2
5493.9360	2
5503.7466	3
5513.5572	4
5523.3678	2
5533.1784	5
5542.9890	6
5552.7996	5
5562.6102	8
5572.4208	2
5582.2314	7
5592.0420	3
5601.8526	2
5611.6632	3
5621.4738	4
5631.2844	2
5641.0950	3
5650.9056	6
5660.7162	2
5670.5268	3
5680.3374	3
5690.1480	4
5699.9586	3
5709.7692	2
5719.5798	5
5729.3904	4
5739.2010	1
5749.0116	1
5758.8222	3
5768.6328	1
5778.4434	3
5788.2540	2
5798.0646	0
5807.8752	2
5817.6858	0
5827.4964	3
5837.3070	3
5847.1176	3
5856.9282	3
5866.7388	4
5876.5494	3
5886.3600	2
5896.1706	3
5905.9812	3
5915.7918	3
5925.6024	3
5935.4130	2
5945.2236	7
5955.0342	3
5964.8448	2
5974.6554	3
5984.4660	3
5994.2766	4
6004.0872	4
6013.8978	1
6023.7084	1
6033.5190	4
6043.3296	3
6053.1402	1
6062.9508	6
6072.7614	2
6082.5720	4
6092.3826	7
6102.1932	0
6112.0038	5
6121.8144	3
6131.6250	6
6141.4356	1
6151.2462	3
6161.0568	3
6170.8674	2
6180.6780	6
6190.4886	2
6200.2992	2
6210.1098	7
6219.9204	4
6229.7310	3
6239.5416	3
6249.3522	3
6259.1628	4
6268.9734	2
6278.7840	2
6288.5946	3
6298.4052	5
6308.2158	3
6318.0264	7
6327.8370	2
6337.6476	6
6347.4582	2
6357.2688	0
6367.0794	4
6376.8900	4
6386.7006	1
6396.5112	5
6406.3218	5
6416.1324	2
6425.9430	3
6435.7536	2
6445.5642	1
6455.3748	3
6465.1854	3
6474.9960	3
6484.8066	3
6494.6172	1
6504.4278	2
6514.2384	4
6524.0490	5
6533.8596	2
6543.6702	5
6553.4808	2
6563.2914	3
6573.1020	2
6582.9126	1
6592.7232	2
6602.5338	0
6612.3444	3
6622.1550	1
6631.9656	0
6641.7762	1
6651.5868	1
6661.3974	2
6671.2080	4
6681.0186	2
6690.8292	4
6700.6398	1
6710.4504	4
6720.2610	3
6730.0716	2
6739.8822	1
6749.6928	2
6759.5034	3
6769.3140	3
6779.1246	3
6788.9352	3
6798.7458	3
6808.5564	2
6818.3670	0
6828.1776	2
6837.9882	1
6847.7988	1
6857.6094	5
6867.4200	1
6877.2306	1
6887.0412	5
6896.8518	4
6906.6624	2
6916.4730	3
6926.2836	5
6936.0942	0
6945.9048	0
6955.7154	3
6965.5260	0
6975.3366	5
6985.1472	0
6994.9578	1
7004.7684	3
7014.5790	2
7024.3896	5
7034.2002	5
7044.0108	0
7053.8214	6
7063.6320	3
7073.4426	3
7083.2532	4
7093.0638	3
7102.8744	7
7112.6850	2
7122.4956	2
7132.3062	4
7142.1168	0
7151.9274	2
7161.7380	6
7171.5486	5
7181.3592	1
7191.1698	3
7200.9804	5
7210.7910	2
7220.6016	2
7230.4122	3
7240.2228	2
7250.0334	1
7259.8440	3
7269.6546	2
7279.4652	1
7289.2758	2
7299.0864	4
7308.8970	2
7318.7076	3
7328.5182	2
7338.3288	1
7348.1394	1
7357.9500	2
7367.7606	0
7377.5712	4
7387.3818	3
7397.1924	3
7407.0030	1
7416.8136	7
7426.6242	1
7436.4348	2
7446.2454	3
7456.0560	3
7465.8666	3
7475.6772	1
7485.4878	3
7495.2984	1
7505.1090	3
7514.9196	2
7524.7302	0
7534.5408	1
7544.3514	4
7554.1620	1
7563.9726	4
7573.7832	4
7583.5938	5
7593.4044	3
7603.2150	1
7613.0256	3
7622.8362	4
7632.6468	2
7642.4574	4
7652.2680	4
7662.0786	1
7671.8892	2
7681.6998	2
7691.5104	4
7701.3210	2
7711.1316	3
7720.9422	4
7730.7528	2
7740.5634	0
7750.3740	1
7760.1846	4
7769.9952	4
7779.8058	2
7789.6164	4
7799.4270	5
7809.2376	5
7819.0482	4
7828.8588	0
7838.6694	2
7848.4800	3
7858.2906	4
7868.1012	3
7877.9118	3
7887.7224	1
7897.5330	5
7907.3436	2
7917.1542	2
7926.9648	0
7936.7754	2
7946.5860	3
7956.3966	3
7966.2072	2
7976.0178	1
7985.8284	3
7995.6390	2
8005.4496	0
8015.2602	4
8025.0708	2
8034.8814	2
8044.6920	3
8054.5026	1
8064.3132	4
8074.1238	2
8083.9344	1
8093.7450	0
8103.5556	6
8113.3662	0
8123.1768	4
8132.9874	5
8142.7980	2
8152.6086	1
8162.4192	2
8172.2298	2
8182.0404	1
8191.8510	2
8201.6616	3
8211.4722	2
8221.2828	3
8231.0934	0
8240.9040	2
8250.7146	0
8260.5252	1
8270.3358	1
8280.1464	3
8289.9570	4
8299.7676	1
8309.5782	1
8319.3888	2
8329.1994	0
8339.0100	1
8348.8206	0
8358.6312	1
8368.4418	0
8378.2524	1
8388.0630	2
8397.8736	1
8407.6842	1
8417.4948	1
8427.3054	5
8437.1160	0
8446.9266	0
8456.7372	4
8466.5478	2
8476.3584	0
8486.1690	0
8495.9796	1
8505.7902	2
8515.6008	2
8525.4114	2
8535.2220	4
8545.0326	2
8554.8432	3
8564.6538	2
8574.4644	1
8584.2750	2
8594.0856	1
8603.8962	0
8613.7068	0
8623.5174	2
8633.3280	1
8643.1386	3
8652.9492	3
8662.7598	2
8672.5704	0
8682.3810	1
8692.1916	1
8702.0022	3
8711.8128	2
8721.6234	2
8731.4340	0
8741.2446	2
8751.0552	3
8760.8658	2
8770.6764	3
8780.4870	1
8790.2976	2
8800.1082	4
8809.9188	0
8819.7294	1
8829.5400	2
8839.3506	0
8849.1612	0
8858.9718	4
8868.7824	4
8878.5930	0
8888.4036	2
8898.2142	2
8908.0248	2
8917.8354	2
8927.6460	0
8937.4566	2
8947.2672	0
8957.0778	3
8966.8884	1
8976.6990	2
8986.5096	2
8996.3202	2
9006.1308	2
9015.9414	3
9025.7520	0
9035.5626	3
9045.3732	1
9055.1838	0
9064.9944	5
9074.8050	1
9084.6156	3
9094.4262	4
9104.2368	0
9114.0474	0
9123.8580	3
9133.6686	1
9143.4792	0
9153.2898	3
9163.1004	2
9172.9110	4
9182.7216	2
9192.5322	1
9202.3428	1
9212.1534	1
9221.9640	1
9231.7746	3
9241.5852	2
9251.3958	0
9261.2064	2
9271.0170	1
9280.8276	1
9290.6382	3
9300.4488	5
9310.2594	2
9320.0700	4
9329.8806	2
9339.6912	5
9349.5018	1
9359.3124	1
9369.1230	1
9378.9336	5
9388.7442	1
9398.5548	4
9408.3654	2
9418.1760	0
9427.9866	2
9437.7972	3
9447.6078	0
9457.4184	1
9467.2290	2
9477.0396	2
9486.8502	3
9496.6608	1
9506.4714	5
9516.2820	2
9526.0926	3
9535.9032	2
9545.7138	2
9555.5244	0
9565.3350	0
9575.1456	3
9584.9562	2
9594.7668	1
9604.5774	0
9614.3880	3
9624.1986	2
9634.0092	2
9643.8198	1
9653.6304	0
9663.4410	1
9673.2516	0
9683.0622	0
9692.8728	2
9702.6834	1
9712.4940	3
9722.3046	1
9732.1152	3
9741.9258	1
9751.7364	4
9761.5470	0
9771.3576	1
9781.1682	0
9790.9788	0
9800.7894	0
9810.6000	0
9820.4106	2
9830.2212	2
9840.0318	0
9849.8424	3
9859.6530	2
9869.4636	1
9879.2742	1
9889.0848	2
9898.8954	2
9908.7060	1
9918.5166	3
9928.3272	1
9938.1378	0
9947.9484	0
9957.7590	0
9967.5696	2
9977.3802	2
9987.1908	2
9997.0014	2
10006.8120	0
10016.6226	2
10026.4332	0
10036.2438	0
10046.0544	0
10055.8650	0
10065.6756	0
10075.4862	5
10085.2968	1
10095.1074	1
10104.9180	3
10114.7286	2
10124.5392	1
10134.3498	2
10144.1604	2
10153.9710	1
10163.7816	5
10173.5922	1
10183.4028	0
10193.2134	1
10203.0240	3
10212.8346	3
10222.6452	0
10232.4558	0
10242.2664	3
10252.0770	0
10261.8876	1
10271.6982	0
10281.5088	2
10291.3194	1
10301.1300	2
10310.9406	0
10320.7512	2
10330.5618	0
10340.3724	0
10350.1830	0
10359.9936	2
10369.8042	1
10379.6148	0
10389.4254	1
10399.2360	3
10409.0466	0
10418.8572	0
10428.6678	2
10438.4784	3
10448.2890	2
10458.0996	0
10467.9102	0
10477.7208	1
10487.5314	1
10497.3420	1
10507.1526	1
10516.9632	1
10526.7738	2
10536.5844	2
10546.3950	2
10556.2056	2
10566.0162	2
10575.8268	2
10585.6374	1
10595.4480	1
10605.2586	1
10615.0692	3
10624.8798	1
10634.6904	0
10644.5010	1
10654.3116	0
10664.1222	0
10673.9328	3
10683.7434	0
10693.5540	1
10703.3646	2
10713.1752	1
10722.9858	1
10732.7964	2
10742.6070	3
10752.4176	2
10762.2282	0
10772.0388	0
10781.8494	3
10791.6600	2
10801.4706	1
10811.2812	2
10821.0918	0
10830.9024	1
10840.7130	2
10850.5236	0
10860.3342	2
10870.1448	1
10879.9554	1
10889.7660	2
10899.5766	2
10909.3872	0
10919.1978	0
10929.0084	1
10938.8190	1
10948.6296	3
10958.4402	1
10968.2508	2
10978.0614	2
10987.8720	3
10997.6826	1
11007.4932	1
11017.3038	0
11027.1144	1
11036.9250	1
11046.7356	0
11056.5462	4
11066.3568	1
11076.1674	3
11085.9780	0
11095.7886	0
11105.5992	2
11115.4098	0
11125.2204	0
11135.0310	0
11144.8416	0
11154.6522	1
11164.4628	3
11174.2734	1
11184.0840	1
11193.8946	2
11203.7052	1
11213.5158	0
11223.3264	0
11233.1370	1
11242.9476	2
11252.7582	0
11262.5688	0
11272.3794	0
